# Radiation correction v2.3. Params: lat=41.5178, lon=1.4944, utc_time=2021-07-25 20:19
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
5020, 499.75, -11.59, 96.4, 4.55, 215.0
5040, 498.46, -11.76, 96.4, 4.47, 214.9
5060, 497.17, -11.94, 96.3, 4.27, 224.6
5080, 495.88, -12.08, 96.2, 4.32, 231.6
5100, 494.59, -12.25, 96.1, 5.35, 224.8
5120, 493.30, -12.43, 96.1, 6.58, 209.2
5140, 492.02, -12.60, 96.0, 7.74, 195.4
5160, 490.74, -12.68, 96.0, 8.27, 195.6
5180, 489.46, -12.77, 95.9, 8.54, 193.9
5200, 488.19, -12.85, 95.9, 9.18, 191.3
5220, 486.92, -12.93, 95.9, 9.82, 193.9
5240, 485.65, -12.95, 96.0, 10.65, 196.3
5260, 484.38, -12.93, 96.0, 10.89, 194.8
5280, 483.12, -12.91, 96.0, 10.94, 193.9
5300, 481.87, -12.91, 96.1, 10.69, 198.6
5320, 480.61, -12.93, 96.2, 10.43, 203.2
5340, 479.36, -12.97, 96.3, 10.00, 211.0
5360, 478.11, -13.02, 96.3, 9.61, 214.0
5380, 476.86, -13.07, 96.3, 9.32, 205.5
5400, 475.62, -13.12, 96.4, 9.42, 203.6
5420, 474.38, -13.19, 96.4, 9.68, 206.0
5440, 473.14, -13.25, 96.5, 9.94, 208.4
5460, 471.91, -13.32, 96.5, 10.27, 204.2
5480, 470.68, -13.39, 96.5, 10.44, 200.5
5500, 469.45, -13.46, 96.5, 10.51, 202.6
5520, 468.22, -13.56, 96.5, 10.78, 208.5
5540, 467.00, -13.66, 96.5, 11.44, 219.6
5560, 465.78, -13.77, 96.5, 11.80, 226.0
5580, 464.56, -13.90, 96.6, 11.06, 224.4
5600, 463.34, -14.06, 96.6, 9.77, 219.1
5620, 462.13, -14.17, 96.5, 8.51, 210.8
5640, 460.92, -14.29, 96.5, 8.12, 205.0
5660, 459.71, -14.38, 96.4, 8.72, 208.4
5680, 458.51, -14.46, 96.3, 9.33, 211.7
5700, 457.31, -14.54, 96.2, 9.93, 215.1
5720, 456.11, -14.63, 96.1, 10.42, 219.5
5740, 454.91, -14.72, 96.0, 11.00, 223.1
5760, 453.72, -14.80, 96.0, 11.58, 226.7
5780, 452.53, -14.89, 95.9, 12.16, 230.3
5800, 451.34, -14.98, 95.8, 12.70, 234.2
5820, 450.15, -15.15, 95.5, 13.09, 238.5
5840, 448.97, -15.29, 95.2, 12.28, 236.2
5860, 447.79, -15.45, 95.0, 10.21, 234.4
5880, 446.61, -15.59, 94.7, 8.27, 233.2
5900, 445.43, -15.69, 94.6, 9.03, 222.9
5920, 444.26, -15.93, 94.4, 10.29, 227.6
5940, 443.09, -16.09, 94.3, 11.61, 219.5
5960, 441.92, -16.23, 94.2, 11.86, 216.7
5980, 440.75, -16.41, 94.1, 12.00, 216.8
6000, 439.59, -16.59, 93.9, 12.14, 217.0
6020, 438.43, -16.76, 93.8, 12.29, 217.1
6040, 437.27, -16.92, 93.7, 12.43, 219.2
6060, 436.11, -17.06, 93.6, 12.43, 218.7
6080, 434.95, -17.17, 93.5, 12.40, 217.3
6100, 433.80, -17.34, 93.4, 12.54, 216.5
